bedrooms,location,price
2.0,Cape Town City Centre,5450000.0
2.0,Cape Town City Centre,2400000.0
1.0,Cape Town City Centre,2995000.0
2.0,Cape Town City Centre,5450000.0
4.0,Cape Town City Centre,9250000.0
2.0,Cape Town City Centre,2349000.0
0,Cape Town City Centre,1650000.0
1.0,Cape Town City Centre,2195000.0
3.0,Cape Town City Centre,4100000.0
2.0,Cape Town City Centre,4800000.0
2.0,Cape Town City Centre,5950000.0
0,Cape Town City Centre,1090000.0
1.0,Cape Town City Centre,1095000.0
0,Cape Town City Centre,1095000.0
0,Cape Town City Centre,1100000.0
0,Cape Town City Centre,1100000.0
1.0,Cape Town City Centre,1250000.0
1.0,Cape Town City Centre,1350000.0
0,Cape Town City Centre,1395000.0
1.0,Cape Town City Centre,1395000.0
0,Cape Town City Centre,1399000.0
0,Cape Town City Centre,1450000.0
1.0,Cape Town City Centre,1495000.0
0,Cape Town City Centre,1495000.0
1.0,Cape Town City Centre,1495000.0
1.0,Cape Town City Centre,1495000.0
0,Cape Town City Centre,1550000.0
0,Cape Town City Centre,1550000.0
0,Cape Town City Centre,1550000.0
0,Cape Town City Centre,1595000.0
1.0,Cape Town City Centre,1595000.0
1.0,Cape Town City Centre,1595000.0
0,Cape Town City Centre,1600000.0
1.0,Cape Town City Centre,1630000.0
2.0,Cape Town City Centre,1650000.0
1.0,Cape Town City Centre,1650000.0
1.0,Cape Town City Centre,1650000.0
1.0,Cape Town City Centre,1675000.0
1.0,Cape Town City Centre,1695000.0
2.0,Cape Town City Centre,1720000.0
0,Cape Town City Centre,1745000.0
1.0,Cape Town City Centre,1750000.0
0,Cape Town City Centre,1753850.0
1.0,Cape Town City Centre,1795000.0
1.0,Cape Town City Centre,1800000.0
0,Cape Town City Centre,1808900.0
0,Cape Town City Centre,1850000.0
1.0,Cape Town City Centre,1850000.0
1.0,Cape Town City Centre,1895000.0
2.0,Cape Town City Centre,1895000.0
0,Cape Town City Centre,1895000.0
1.0,Cape Town City Centre,1895000.0
0,Cape Town City Centre,1895000.0
0,Cape Town City Centre,1895000.0
1.0,Cape Town City Centre,1950000.0
0,Cape Town City Centre,1950000.0
1.0,Cape Town City Centre,1975000.0
1.0,Cape Town City Centre,1995000.0
0,Cape Town City Centre,1995000.0
1.0,Cape Town City Centre,1995000.0
2.0,Cape Town City Centre,1995000.0
1.0,Cape Town City Centre,2000000.0
1.0,Cape Town City Centre,2000000.0
1.0,Cape Town City Centre,2095000.0
1.0,Cape Town City Centre,2149000.0
2.0,Cape Town City Centre,2150000.0
1.0,Cape Town City Centre,2150000.0
1.0,Cape Town City Centre,2150000.0
2.0,Cape Town City Centre,2150000.0
1.0,Cape Town City Centre,2195000.0
0,Cape Town City Centre,2207850.0
1.0,Cape Town City Centre,2250000.0
1.0,Cape Town City Centre,2250000.0
1.0,Cape Town City Centre,2275000.0
1.0,Cape Town City Centre,2295000.0
2.0,Cape Town City Centre,2295000.0
1.0,Cape Town City Centre,2295000.0
1.0,Cape Town City Centre,2300000.0
1.0,Cape Town City Centre,2395000.0
1.0,Cape Town City Centre,2395000.0
1.0,Cape Town City Centre,2395000.0
1.0,Cape Town City Centre,2395000.0
1.0,Cape Town City Centre,2495000.0
3.0,Cape Town City Centre,2500000.0
1.0,Cape Town City Centre,2500000.0
2.0,Cape Town City Centre,2599000.0
1.0,Cape Town City Centre,2600000.0
1.0,Cape Town City Centre,2600000.0
2.0,Cape Town City Centre,2600000.0
1.0,Cape Town City Centre,2645000.0
1.0,Cape Town City Centre,2650000.0
2.0,Cape Town City Centre,2749999.0
1.0,Cape Town City Centre,2750000.0
2.0,Cape Town City Centre,2750000.0
2.0,Cape Town City Centre,2750000.0
1.0,Cape Town City Centre,2795000.0
1.0,Cape Town City Centre,2795000.0
1.0,Cape Town City Centre,2795000.0
2.0,Cape Town City Centre,2850000.0
1.0,Cape Town City Centre,2850000.0
1.0,Cape Town City Centre,2950000.0
1.0,Cape Town City Centre,2950000.0
1.0,Cape Town City Centre,2990000.0
2.0,Cape Town City Centre,2995000.0
1.0,Cape Town City Centre,2995000.0
2.0,Cape Town City Centre,2995000.0
1.0,Cape Town City Centre,2995000.0
1.0,Cape Town City Centre,3095000.0
1.0,Cape Town City Centre,3150000.0
2.0,Cape Town City Centre,3195000.0
2.0,Cape Town City Centre,3200000.0
2.0,Cape Town City Centre,3250000.0
2.0,Cape Town City Centre,3375000.0
2.0,Cape Town City Centre,3395000.0
2.0,Cape Town City Centre,3416000.0
2.0,Cape Town City Centre,3450000.0
2.0,Cape Town City Centre,3495000.0
2.0,Cape Town City Centre,3650000.0
1.0,Cape Town City Centre,3695000.0
2.0,Cape Town City Centre,3789000.0
3.0,Cape Town City Centre,3800000.0
3.0,Cape Town City Centre,3800000.0
2.0,Cape Town City Centre,3800000.0
2.0,Cape Town City Centre,3850000.0
2.0,Cape Town City Centre,3995000.0
3.0,Cape Town City Centre,3995000.0
2.0,Cape Town City Centre,4100000.0
2.0,Cape Town City Centre,4100000.0
2.0,Cape Town City Centre,4200000.0
3.0,Cape Town City Centre,4490000.0
2.0,Cape Town City Centre,4595000.0
2.0,Cape Town City Centre,4950000.0
2.0,Cape Town City Centre,4950000.0
2.0,Cape Town City Centre,4995000.0
2.0,Cape Town City Centre,4999999.0
2.0,Cape Town City Centre,6600000.0
2.0,Cape Town City Centre,6750000.0
3.0,Cape Town City Centre,6795000.0
3.0,Cape Town City Centre,6800000.0
2.0,Cape Town City Centre,8500000.0
2.0,Cape Town City Centre,9500000.0
2.0,Cape Town City Centre,9975000.0
4.0,Cape Town City Centre,10000000.0
2.0,Cape Town City Centre,10500000.0
3.0,Cape Town City Centre,11000000.0
3.0,Cape Town City Centre,11250000.0
3.0,Cape Town City Centre,11450000.0
3.0,Cape Town City Centre,13500000.0
3.0,Cape Town City Centre,17500000.0
2.0,Cape Town City Centre,1250000.0
0,Cape Town City Centre,1395000.0
1.0,Cape Town City Centre,1450000.0
0,Cape Town City Centre,1595000.0
1.0,Cape Town City Centre,1630000.0
1.0,Cape Town City Centre,1695000.0
1.0,Cape Town City Centre,1785000.0
1.0,Cape Town City Centre,1795000.0
1.0,Cape Town City Centre,1895000.0
0,Cape Town City Centre,1950000.0
1.0,Cape Town City Centre,1995000.0
0,Cape Town City Centre,2100000.0
1.0,Cape Town City Centre,2200000.0
1.0,Cape Town City Centre,2200000.0
2.0,Cape Town City Centre,2395000.0
1.0,Cape Town City Centre,2450000.0
2.0,Cape Town City Centre,2495000.0
1.0,Cape Town City Centre,2495000.0
1.0,Cape Town City Centre,2500000.0
2.0,Cape Town City Centre,2550000.0
1.0,Cape Town City Centre,2690000.0
2.0,Cape Town City Centre,2950000.0
1.0,Cape Town City Centre,2995000.0
2.0,Cape Town City Centre,3100000.0
2.0,Cape Town City Centre,3200000.0
2.0,Cape Town City Centre,3900000.0
2.0,Cape Town City Centre,4003000.0
3.0,Cape Town City Centre,4090000.0
2.0,Cape Town City Centre,4195000.0
1.0,Cape Town City Centre,4250000.0
2.0,Cape Town City Centre,4395000.0
0,Cape Town City Centre,4700000.0
2.0,Cape Town City Centre,4950000.0
1.0,Cape Town City Centre,4995000.0
2.0,Cape Town City Centre,5195000.0
3.0,Cape Town City Centre,14250000.0
3.0,Cape Town City Centre,20500000.0
1.0,Cape Town City Centre,1725000.0
1.0,Cape Town City Centre,1785000.0
1.0,Cape Town City Centre,1895000.0
0,Cape Town City Centre,2375000.0
