3 Bedroom House,Stonehurst Mountain Estate,294 m²,R 4 550 000
3 Bedroom House,Claremont,751 m²,R 4 450 000
1 Bedroom Apartment,Sea Point,93 m²,R 2 399 000
5 Bedroom House,Southfield,809 m²,R 2 400 000
3.5 Bedroom Apartment,Sea Point,227 m²,R 7 950 000
3 Bedroom House,Lakeside,496 m²,R 1 895 000
3 Bedroom House,Pinelands,1 389 m²,R 3 495 000
Commercial Property,Claremont,170 m²,R 3 600 000
4 Bedroom House,Tamboerskloof,268 m²,R 6 595 000
4 Bedroom House,Observatory,357 m²,R 3 000 000
1 Bedroom Apartment,Kenilworth Upper,47 m²,R 1 499 000
1 Bedroom Apartment,Kenilworth Upper,47 m²,R 1 499 000
2 Bedroom Apartment,Costa Da Gama,43 m²,R 750 000
2 Bedroom Apartment,Sea Point,139 m²,R 5 600 000
1 Bedroom Apartment,De Waterkant,60 m²,R 2 800 000
3 Bedroom House,Plumstead,495 m²,R 2 690 000
2 Bedroom Apartment,Sea Point,67 m²,R 5 200 000
